Year,Length,Title,Subject,Actor
1962,110,Sundays & Cybele,Drama,Kruger
1989,90,Puppet Master,Science Fiction,LeMat
1991,95,Night Gallery,Horror,McDowall
1989,103,Pet Sematary,Horror,Gwynne
1977,123,Slap Shot,Comedy,Newman
1987,109,O. C. & Stiggs,Comedy,Jenkins
1988,108,A Fish Called Wanda,Comedy,Cleese
1957,82,Brink of Life,Drama,Josephson
1986,120,Betty Blue,Drama,Anglade
1979,122,Hair,Music,Savage
1989,97,National Lampoon's Christmas Vacation,Comedy,Chase
1990,106,Alice,Comedy,Baldwin
1990,94,Snow Kill,Drama,Knox
1969,128,True Grit,Western,Wayne
1948,103,Three Godfathers,Western,Wayne
1946,110,A Stolen Life,Drama,Ford
1950,138,All about Eve,Drama,Sanders
1990,89,Quick Change,Comedy,Murray
1992,90,Beauty & the Beast,Science Fiction,Marais
1940,120,Foreign Correspondent,Mystery,McCrea
1942,85,Wheel of Fortune,Drama,Wayne
1989,120,Do the Right Thing,Drama,Aiello
1967,90,Elvira Madigan,Drama,Berggren
1992,86,Hurricane Smith,Action,Weathers
1987,86,Fair Game,Action,Ford
1983,99,Risky Business,Comedy,Cruise
1980,103,I Love All of You (Je Vous Aime),Drama,Depardieu
1986,108,Love Songs,Drama,Lambert
1983,114,Le Choix des Armes,Mystery,Montand
1981,135,Choice of Arms,Action,Montand
1977,107,March or Die,War,Hackman
1986,120,Jean de Florette,Drama,Montand
1989,127,Fat Man & Little Boy,Drama,Newman
1990,125,Wild at Heart,Drama,Cage
1989,113,Family Business,Action,Connery
1988,103,Stand & Deliver,Drama,Olmos
1981,94,Looker,Science Fiction,Finney
1989,89,Fire & Rain,Action,Haid
1940,83,Seven Sinners,Drama,Wayne
1961,190,Judgment at Nuremberg,Drama,Tracy
1989,60,Minsky's Follies,Comedy,Taylor
1987,130,Wings of Desire,Drama,Ganz
1991,158,Until the End of the World,Drama,Hurt
1987,118,Castaway,Drama,Reed
1991,99,Delicatessen,Comedy,Benezech
1991,110,Hanover Street,Drama,Ford
1991,102,Hunchback,Drama,Hopkins
1946,97,My Darling Clementine,Western,Fonda
1950,86,Wagon Master,Western,Johnson
1949,93,She Wore a Yellow Ribbon,Western,Wayne
1985,90,Fantasy Man,Comedy,Hopkins
1986,87,Monster in the Closet,Comedy,Grant
1992,85,Double Edge,Drama,Eban
1976,116,Network,Comedy,Finch
1974,131,Chinatown,Drama,Nicholson
1975,117,Three Days of the Condor,Drama,Redford
1977,134,Voyage of the Damned,Drama,Sydow
1987,97,Barfly,Drama,Rourke
1947,118,Life with Father,Comedy,Powell
1974,117,Stavisky,Drama,Belmondo
1981,117,Time Bandits,Comedy,Cleese
1945,91,Flame of Barbary Coast,Western,Wayne
1984,105,Beverly Hills Cop,Comedy,Murphy
